message
"{'loss': 0.128, 'learning_rate': 4.855869103470812e-05, 'epoch': 0.03}"
"{'loss': 0.1237, 'learning_rate': 4.8552855775739334e-05, 'epoch': 0.03}"
"{'loss': 0.1856, 'learning_rate': 4.8547020516770535e-05, 'epoch': 0.03}"
"{'loss': 0.1313, 'learning_rate': 4.854118525780174e-05, 'epoch': 0.03}"
"{'loss': 0.1395, 'learning_rate': 4.853534999883295e-05, 'epoch': 0.03}"
"{'loss': 0.1591, 'learning_rate': 4.852951473986416e-05, 'epoch': 0.04}"
"{'loss': 0.1381, 'learning_rate': 4.852367948089536e-05, 'epoch': 0.04}"
"{'loss': 0.123, 'learning_rate': 4.8517844221926575e-05, 'epoch': 0.04}"
"{'loss': 0.1514, 'learning_rate': 4.8512008962957776e-05, 'epoch': 0.04}"
"{'loss': 0.1256, 'learning_rate': 4.8506173703988984e-05, 'epoch': 0.04}"
"{'loss': 0.1309, 'learning_rate': 4.850033844502019e-05, 'epoch': 0.04}"
"{'loss': 0.1368, 'learning_rate': 4.84945031860514e-05, 'epoch': 0.04}"
"{'loss': 0.1292, 'learning_rate': 4.84886679270826e-05, 'epoch': 0.04}"
"{'loss': 0.1571, 'learning_rate': 4.8482832668113816e-05, 'epoch': 0.04}"
"{'loss': 0.14, 'learning_rate': 4.847699740914502e-05, 'epoch': 0.04}"
"{'loss': 0.1045, 'learning_rate': 4.8471162150176225e-05, 'epoch': 0.04}"
